날짜,사건,추가 정보,기간
907,"당 멸망, 5대10국","오대 십국 시대(五代十國時代, 907년~960년)은 중국 역사에서 당나라가 멸망한 907년부터, 송나라가 건립된 960년까지, 황하 유역을 중심으로 화북을 통치했던 5개의 왕조(오대)와 화중·화남과 화북의 일부를 지배했던 여러 지방정권(십국)이 흥망을 거듭한 정치적 격변기를 가리킨다. 오대 십국의 오대는 후량, 후당, 후진, 후한, 후주를 뜻하며, 십국은 오월, 민, 형남, 초. 오, 남당, 남한, 북한, 전촉, 후촉을 포함한다.",907 ~ 960
907,"거란,요","중국의 왕조로 정복왕조(916~1125)의 하나이다. 창시자는 동호계 유목민인 거란족의 야율아보기이다. 거란족은 4세기 이후 네이멍구자치구 시라무렌강 유역에서 유목생활을 하다가 6~9세기경, 수ㆍ당의 영향을 받아 발전하였는데, 9세기 말 당이 쇠약해진 틈을 타서 점차 발흥하였다.",907 ~ 1125
909,"파티마 왕조,이집트 정복","파티마 왕조, 파티마 칼리프조는는 아랍 제국의 시아파 이슬람 왕조로 909년부터 1171년까지 이집트, 북아프리카, 레반트를 다스린 왕조이다. 이 왕조의 군주 (칼리프)들은 이슬람의 시조인 마호메트의 딸 파티마의 후손이라고 주장하며 왕조의 이름도 파티마라고 정했다. 이들은 이슬람 시아파의 또다른 분파인 이스마일파였다.",0
911,"바이킹,노르망디 공국","9세기 후반 이후 노르만인의 수장(首長)들은 프랑크의 봉토를 받아서 가신(家臣)으로 되는 경향이 강하였다. 노르만의 침구(侵寇)에 대한 회유책으로, 프랑스 왕 샤를 3세가 911년 노르만의 추장(酋長) 롤로에게 센 강 하류 지대를 양여하여 노르망디 공(公)에 봉(封)하자, 다수의 노르만인이 이 지방으로 이주하여 영지를 확장하고, 특수지역을 만들어 실질적인 독립국을 만들었다.",0
918,"왕건,고려 건국","왕건은 개성지역의 호족으로 궁예를 도와 후삼국 통일에 앞장섰다. 그러나 궁예의 횡포가 심해지자 불만세력들이 918년 '태봉의 정변'을 일으켰고, 왕건이 왕위에 올라 나라를 고려, 연호를 천수라 하였다.",0
926,"발해,거란에 멸망","916년 거란의 야율아보기(耶律阿保機, 872년 - 926년, 재위 : 907년 - 926년)는 부족을 통일하고 요나라를 세워 스스로 황제가 되었다. 그는 중원 지방으로 진출하려고 노력하였는데, 그러기 위해서는 배후 세력인 발해를 먼저 제거하고자 하였다. 마침내 925년 음력 12월 말, 야율아보기는 군대를 이끌고 발해를 공격하였고, 발해는 요나라의 침입을 효과적으로 방어할 수 없었다. 결국 발해는 보름여 만인 926년 3월 1일(음력 1월 15일)에 멸망하였다.",0
929,후後우마이야 왕조,"후우마이야 왕조는 코르도바 칼리프국(아랍어: خلافة قرطبة Khilāfat Qurṭuba) 또는 서칼리프국이라고도 한다. 우마이야 왕조 멸망 후 일족인 아브드알 라흐만이 에스파냐의 코르도바에 피신하여 독립했다. 제8대 아브드 알라흐만 3세 때 칼리프를 자칭하고 왕조는 최성기에 달했다. 그리하여 후우마이야 왕조를 서칼리프국, 아바스 왕조를 동칼리프국이라고도 했다. 양국은 정치적으로는 대립해 있었지만, 문화·경제적 교류는 활발하여 이베리아 반도에는 고도의 이슬람 문화가 꽃피었다.",0
935,신라 멸망,"935년 10월 신라의 경순왕 김부는 김봉휴를 고려에 파견하여 신하의 예로서 왕건을 뵙기를 원한다는 항복 의사를 밝힘으로써 실질적인 멸망의 길을 걸었다. 왕건은 김부의 배례를 받고 정승으로 임명하여 태자 이상의 품위를 조치하였으며, 맏딸 낙랑공주를 김부와 결혼시켰다. 이로써 신라는 1000여 년 역사의 문을 닫고 완전히 사라졌다.",0
946,백두산 화산 폭발 ?,946년 백두산 분화(영어: 946 eruption of Paektu Mountain)는 화산 폭발 지수 7에 달하는 역사적으로 강력했던 화산 분화 기록이다.,0
960,송,"960년 조광윤이 오대십국 시대 오대 최후의 왕조 후주로부터 선양을 받아 개봉(카이펑)에 도읍하여 나라를 세웠다. 국호는 송(宋)이었으나, 춘추시대의 송, 남북조 시대의 송 등과 구별하기 위해 황실의 성씨를 따라 조송(趙宋)이라고도 부른다. 통상 1127년 금나라의 확장에 밀려 장강 이남으로 옮기기 전을 북송, 이후 임안(지금의 항저우)에 도읍을 옮긴 것을 남송이라고 불러 구분하였다. 북송·남송 모두 합쳐 송, 송 왕조라고도 한다.",0
962,신성로마제국 성립,"신성 로마 제국(독일어: Heiliges Römisches Reich, 神聖羅馬帝國)은 중세에서 근대 초까지 이어진 중부유럽 나라들의 정치 연방체이다. 프랑크 왕국이 베르됭 조약(843년)으로 나뉜 동쪽에서 독일 왕이 마자르족을 격퇴한 후 교황으로부터 황제의 관을 수여받아 신성 로마 제국 건국을 선포하였다.",0
993,고려-거란 전쟁(1),거란(요나라)은 송과 친선을 유지하는 고려에 불만을 품고 고려에 침입해 왔다. 서희는 거란의 소손녕을 만나 거란과의 친선을 약속하고 물러가게 하였다. 또한 강동 6주를 획득하여 영토를 넓혔다.,0
1004,"송-요,전연의 맹",전연의 맹(澶淵之盟)은 중국의 송(宋)에 침입한 요(遼)의 성종(聖宗)과 이를 막기 위해 북상(北上)하였던 송의 진종(眞宗)이 전주(澶州)에 대진(對陣)하고 체결한 강화조약이다.,0
1010,고려-거란 전쟁(2),"1010년(현종 1) 강조의 정변을 문제삼은 거란군이 재차 고려 침략을 단행하였다. 40만 거란군은 흥화진(의주)과 서경(평양)은 격파하지 못했지만 곽주, 안북도호부와 숙주 등을 함락시키며 개경의 궁궐과 건물들을 불태웠다. 결국 고려는 거란군과 화친약속을 맺었다.",0
1019,고려-거란 전쟁(귀주대첩),"고려 현종 때 거란 침략군을 귀주에서 물리쳐 승리한 싸움이다. 태조 때부터 적대관계를 유지해 온 거란에 대한 고려의 북진정책이 원인이 되어 993년 거란의 1차 침입과 1010년 2차 침입에 이어, 1018년 소배압이 이끈 10만 대군에 의한 3차 침입이 있었다. 이때 고려는 강감찬을 상원수로 하여 거란을 물리쳤으며, 특히 귀주에서 기다리고 있던 김종현의 공격을 받아 크게 패배하였다.",0
1025,1025년의 세계,1025년의 세계지도. 제목을 클릭하세요.,0
1037,셀주크 투르크 제국,셀주크 튀르크는 11세기경부터 14세기까지 중앙 아시아와 중동 일대를 다스린 수니파 무슬림 왕조를 말한다. 셀주크 왕조라고 하기도 한다. 셀주크 튀르크는 중앙아시아의 부족연합체로 발흥하여 중동에서 튀르크 세력의 시조를 이루었고 제1차 십자군의 공격대상이 되었다.,1037 ~ 1194
1038,서하 건국,"서하(중국어: 西夏 병음: Xī Xià)또는 민약(Minyak)은 1038년에서 1227년까지 중국 북서부의 간쑤 성(甘肅省), 산시 성(陝西省)에 위치했던 티베트계 탕구트족의 왕조이다. 전성기에는 북으로는 고비 사막, 남으로는 난주, 동으로는 황허, 서로는 옥문에 이르는 영토를 가지고 있었다.",0
1054,동서 교회의 분열,로마가톨릭과 동방정교회.,0
1066,"노르만족,영국 정복","1066년 에드워드가 죽은 뒤 동생 해럴드 2세가 왕위에 오르자 노르망디공 기욤이 왕위계승권을 주장하여 진격해 왔으며, 헤이스팅스전투에서 해럴드국을 격파, 윌리엄 1세(정복왕)가 되었다. 이것이 영국사에서 말하는 노르만정복이다.",0
1071/08/26,만지케르트 전투,"만지케르트 전투(Battle of Manzikert)는 1071년 8월 26일에 비잔티움 제국과 알프 아르슬란이 지휘하는 셀주크 제국(Seljuq) 군대간의 전투로서, 제국의 바스프라카니아 테마에 있는 아르메니아의 만지케르트 근교에서 벌어졌다. 이 전투는 비잔티움 제국의 결정적인 패배 중의 하나로 결말이 났으며 제국의 황제 로마누스 4세 디오게네스는 적에게 포로로 잡혔다. 만지케르트 전투는 아나톨리아에서 투르크 부족에 대한 제국의 저항을 완벽하게 무력화시켰다.",0
1077/01,카노사의 굴욕,"1077년 1월경, 신성로마제국의 하인리히 4세가 자신을 파문한 교황 그레고리우스 7세를 만나기 위해 이탈리아 북부의 카노사 성으로 가서 관용을 구한 사건을 말한다. 교회의 성직자 임명권인 서임권을 둘러싸고 분쟁하던 신성 로마 제국 황제와 로마 교황의 대립의 정점에 있었던 사건으로 이후 교회의 권력에 세속 권력이 굴복한 대표적인 사건으로 지칭 된다.",0
1085,"카스티야, 톨레도 함락","무슬림이 카스티야의 알폰소6세에게 톨레도를 내줌. 1085년 스페인의 아랍성 톨레도가 함락된 후 기독교 군대들은 꿈도 꿔보지 못했던 문화적 보물들을 발견했다. 톨레도는 711년 이슬람 세력의 이베리아 반도 남부 안달루시아 지방 점령 이래 엘 시드에 의해 기독교 세계로 넘어가기 전까지 고대 그리스의 과학문명을 보관해온 보고였다. 톨레도가 무너지자 북부 유럽 학자들은 마치 불나방처럼 톨레도로 몰려와 지식의 약탈을 시작했다. 유클리드 기하학을 비롯해 의학, 점성술학, 천문학, 약학, 심리학, 생리학, 동물학, 생물학, 식물학, 광물학, 광학, 화학, 물리학, 수학, 대수학, 삼각술, 음악, 기상학, 지리학, 역학, 유체학, 항해술, 역사서 등 방대한 지식을 가져갔다.",0
1095,십자군 전쟁,"십자군은 교황의 호소로 조직된 기독교적인 성향을 강하게 띤 군대를 가리킨다. 그러나 역사적으로 대부분의 경우 11세기부터 13세기까지 감행된 중세 서유럽의 로마 가톨릭 국가들이 중동의 이슬람 국가에 대항하여 성지 예루살렘을 탈환하는 것을 목적으로 행해진 대규모의 군사 원정을 가리킨다. 넓은 의미로는 직접적으로 성지와는 관계없는 레콩키스타나 동유럽에 파견된 동방십자군, 발트해 연안의 여러 나라에 원정을 감행한 북방십자군, 이단에 대한 알비 십자군 등이 포함되었다. 하지만 그 취지와는 다르게 십자군측이 예루살렘을 확보한 기간은 1099년 ~ 1187년 및 1229년 ~ 1244년뿐이었다. 이후 20세기까지 예루살렘은 이슬람의 지배하에 있게 된다",1095 ~ 1291
1100,중세 온난기,"중세 중기의 온난기라는 개념은 1965년 램(Lamb)에 의해 정식화되었는데, 그의 추론은 역사기록과 물리학적인 기후자료에 근거하고 있다. 램은 온난기의 정점을 1000년경부터 1300년경까지, 다시 말해서 중세중기로 보았다. 이 시기에는 덥고 건조한 여름과 온화한 겨울이 자주 등장한다. 램은 이 시기의 온난화 정도를 1931~1960년 기후 ‘정상기’의 평균기온보다 1~2℃가량 높은 수준이었던 것으로 추정했다. 심지어 북반구 고위도 지역에서는 기온이 4℃까지 더 높았던 것으로 보인다.",0
1115,"여진,금","만주 원주민인 퉁구스족의 일파인 여진족이 요의 압박을 물리치고 금을 건국하였다. 금은 1125년 요를 멸망시키고, 1127년 북송을 무너뜨려 만주에서 화북 일대를 지배하였다.",1115 ~ 1234
1125,"요,금에 멸망",금金의 2대 태종 때인 1125년에는 송나라와 동맹을 맺고 요를 협격하여 만주지역으로부터 요를 멸망시켰다.,0
1126,"고려,금과 군신관계",이자겸은 이듬해(1126년) 3월 마침내 금나라에 칭신(稱臣)하기로 결정한다.,0
1127,"송,정강의 변","정강의 변(靖康之變)이란 1126년 송나라가 여진족의 금나라에 패하고, 중국 사상 정치적 중심지였던 화북을 잃어버리고, 황제 휘종과 흠종이 금나라에 사로잡힌 사건을 말한다. 정강(靖康)은 당시 북송의 연호이다.",0
1127,남송(南宋) 건국,"흠종의 동생 고종은 1127년 여진족의 금이 송의 수도를 함락시키고 휘종과 흠종을 잡아가자, 남중국 임안을 도읍으로 하고 남송을 건설하였다.",0
1135,묘청의 난,"묘청의 난(1135년 1월 19일(음력 1월 4일) ~ 1136년)은 승려 묘청 등이 금국정벌론과 서경천도론이 개경 귀족들의 방해로 무산되자 서경(西京)에서 국호를 대위(大爲), 연호를 천개(天開), 군호(軍號)를 천견충의군(天遣忠義軍)이라 하여 대위국(大爲國)을 선언하고 일으킨 반란이다. 대위국이라는 새로운 국가이념 차원의 반란은 김부식이 지휘하는 진압군의 공격을 받고 내부 분열을 일으키기도 했으나, 1년간 치열하게 지속되었다.",0
1143,포르투갈 왕국 성립,"유럽 이베리아 반도 서부에 위치한 나라로 A.D. 1143년 포르투갈 왕국이 성립되었다. 15~16세기에 해양왕국으로서 지위를 확립하면서 세계 최대의 영토를 소유했지만 18세기 중반 나폴레옹의 침입, 브라질의 독립 이후 국력이 쇠퇴하였다. 1910년 공화제가 성립되었다.",0
1170/08,무신정변,"무신정변(武臣政變)은 고려시대 의종 24년(1170년) 8월에 상장군 정중부와 이의방, 이고 등의 휘하장수들이 보현원(普賢院)에서 일으킨 쿠데타이다. 무신들의 주도로 일어난 정변이었기 때문에 무신의 난(武臣의 亂)이라고 부르고 정변이 일어난 해가 경인년이었기 때문에 경인의 난(庚寅의 亂)이라고도 부르며 정변의 주도적인 역할을 한 정중부의 이름을 따서 정중부의 난(鄭仲夫의 亂)이라고 부르기도 한다. 1170년 이후 계속된 무신정권은 100년 후인 1270년, 마지막 무신집권자인 임유무가 살해당하기까지 100년간 존속되었다.",0
